No,House Type,Address,Township,District,Bed Room,Single Room,Lat/Long,Price (THB)/Per Month,Map Location,Remark
1386,Condo,"1486 Moo 3, Chiang Mai",Chiang Dao,San Sai Luang,1,3,"18.837385, 99.042066",12215,"https://www.google.com/maps?q=18.837385,99.042066",Quiet area
1387,Condo,"1487 Moo 6, Chiang Mai",Mae Ai,Nong Han,5,1,"18.765976, 98.965677",11318,"https://www.google.com/maps?q=18.765976,98.965677",Near market
1388,Detached,"1488 Moo 9, Chiang Mai",San Kamphaeng,Nong Han,5,1,"18.814345, 98.985434",9715,"https://www.google.com/maps?q=18.814345,98.985434",Renovated
1389,Townhouse,"1489 Moo 7, Chiang Mai",San Kamphaeng,San Na Meng,4,3,"18.697977, 98.803063",11168,"https://www.google.com/maps?q=18.697977,98.803063",New listing
1390,Bungalow,"1490 Moo 6, Chiang Mai",Hang Dong,San Na Meng,4,2,"18.795134, 98.821759",7577,"https://www.google.com/maps?q=18.795134,98.821759",Near school
1391,Townhouse,"1491 Moo 5, Chiang Mai",Doi Saket,San Sai Luang,3,3,"18.85027, 98.904983",12619,"https://www.google.com/maps?q=18.85027,98.904983",Urgent sale
1392,Detached,"1492 Moo 1, Chiang Mai",Wiang Haeng,Mae Faek,1,3,"18.655181, 99.028763",12832,"https://www.google.com/maps?q=18.655181,99.028763",Quiet area
1393,Condo,"1493 Moo 8, Chiang Mai",Phrao,Mae Faek,5,3,"18.745742, 98.839431",9605,"https://www.google.com/maps?q=18.745742,98.839431",Urgent sale
1394,Townhouse,"1494 Moo 2, Chiang Mai",San Sai,San Sai Luang,5,2,"18.954572, 98.971641",9344,"https://www.google.com/maps?q=18.954572,98.971641",Near school
1395,Villa,"1495 Moo 9, Chiang Mai",Saraphi,Mae Faek,5,3,"18.929247, 99.019162",9409,"https://www.google.com/maps?q=18.929247,99.019162",Quiet area
1396,Townhouse,"1496 Moo 1, Chiang Mai",Doi Lo,Nong Han,4,1,"18.849134, 98.942724",8321,"https://www.google.com/maps?q=18.849134,98.942724",Price negotiable
1397,Townhouse,"1497 Moo 4, Chiang Mai",Doi Lo,San Na Meng,1,3,"18.72446, 98.919",12466,"https://www.google.com/maps?q=18.72446,98.919",New listing
1398,Condo,"1498 Moo 8, Chiang Mai",Mae Taeng,San Na Meng,5,2,"18.924645, 99.048394",12177,"https://www.google.com/maps?q=18.924645,99.048394",Price negotiable
1399,Bungalow,"1499 Moo 3, Chiang Mai",Chom Thong,Nong Han,2,3,"18.909722, 98.873932",7073,"https://www.google.com/maps?q=18.909722,98.873932",Renovated
1400,Townhouse,"1500 Moo 4, Chiang Mai",Doi Tao,San Na Meng,3,3,"18.791213, 98.833805",7778,"https://www.google.com/maps?q=18.791213,98.833805",Renovated
1401,Condo,"1501 Moo 3, Chiang Mai",Mae Wang,San Na Meng,5,2,"18.615048, 99.081843",8333,"https://www.google.com/maps?q=18.615048,99.081843",Urgent sale
1402,Villa,"1502 Moo 2, Chiang Mai",Samoeng,Mae Faek,3,3,"18.955321, 99.098493",9823,"https://www.google.com/maps?q=18.955321,99.098493",Fully furnished
1403,Villa,"1503 Moo 1, Chiang Mai",Doi Tao,Mae Faek,5,3,"18.869595, 99.032267",8502,"https://www.google.com/maps?q=18.869595,99.032267",Quiet area
1404,Detached,"1504 Moo 3, Chiang Mai",Doi Lo,Nong Han,5,2,"18.858038, 98.89988",7641,"https://www.google.com/maps?q=18.858038,98.89988",Great view
1405,Apartment,"1505 Moo 7, Chiang Mai",San Kamphaeng,San Sai Luang,2,3,"18.758631, 98.829043",11833,"https://www.google.com/maps?q=18.758631,98.829043",Near school
1406,Apartment,"1506 Moo 5, Chiang Mai",Doi Lo,San Na Meng,2,1,"18.913627, 98.90575",10827,"https://www.google.com/maps?q=18.913627,98.90575",Investment opportunity
1407,Townhouse,"1507 Moo 10, Chiang Mai",Phrao,Mae Faek,3,1,"18.862363, 98.942496",10874,"https://www.google.com/maps?q=18.862363,98.942496",Quiet area
1408,Detached,"1508 Moo 5, Chiang Mai",Mae Wang,San Na Meng,5,2,"18.870875, 98.949238",9024,"https://www.google.com/maps?q=18.870875,98.949238",Near school
1409,Apartment,"1509 Moo 7, Chiang Mai",Wiang Haeng,San Na Meng,3,3,"18.78028, 98.844653",12382,"https://www.google.com/maps?q=18.78028,98.844653",Investment opportunity
1410,Townhouse,"1510 Moo 8, Chiang Mai",Chom Thong,Nong Han,3,1,"18.973901, 98.854676",12230,"https://www.google.com/maps?q=18.973901,98.854676",Near market
1411,Townhouse,"1511 Moo 7, Chiang Mai",Mae Taeng,Nong Han,3,2,"18.92437, 99.055642",7742,"https://www.google.com/maps?q=18.92437,99.055642",Great view
1412,Apartment,"1512 Moo 6, Chiang Mai",San Pa Tong,Mae Faek,1,2,"18.84296, 98.946071",10264,"https://www.google.com/maps?q=18.84296,98.946071",Renovated
1413,Bungalow,"1513 Moo 9, Chiang Mai",San Kamphaeng,San Na Meng,5,1,"18.620097, 99.024887",11856,"https://www.google.com/maps?q=18.620097,99.024887",Great view
1414,Apartment,"1514 Moo 2, Chiang Mai",Mae Taeng,San Sai Luang,2,3,"18.819455, 99.009819",8574,"https://www.google.com/maps?q=18.819455,99.009819",Fully furnished
1415,Detached,"1515 Moo 2, Chiang Mai",Mae Taeng,San Sai Luang,5,1,"18.996372, 98.973693",10962,"https://www.google.com/maps?q=18.996372,98.973693",Renovated
1416,Villa,"1516 Moo 1, Chiang Mai",Chom Thong,Nong Han,1,2,"18.608969, 99.071164",9650,"https://www.google.com/maps?q=18.608969,99.071164",New listing
1417,Villa,"1517 Moo 3, Chiang Mai",Omkoi,Nong Han,1,1,"18.778193, 98.876238",8882,"https://www.google.com/maps?q=18.778193,98.876238",Great view
1418,Condo,"1518 Moo 10, Chiang Mai",Samoeng,San Sai Luang,5,2,"18.600548, 99.028746",7797,"https://www.google.com/maps?q=18.600548,99.028746",Price negotiable
1419,Villa,"1519 Moo 2, Chiang Mai",Mae On,Mae Faek,3,2,"18.881941, 99.070411",11473,"https://www.google.com/maps?q=18.881941,99.070411",Quiet area
1420,Villa,"1520 Moo 9, Chiang Mai",Hot,Nong Han,2,2,"18.880649, 98.857987",12310,"https://www.google.com/maps?q=18.880649,98.857987",Price negotiable
1421,Detached,"1521 Moo 2, Chiang Mai",Chom Thong,Nong Han,1,1,"18.798984, 99.031149",9954,"https://www.google.com/maps?q=18.798984,99.031149",Quiet area
1422,Condo,"1522 Moo 8, Chiang Mai",Hang Dong,San Sai Luang,4,2,"18.698198, 99.053119",8378,"https://www.google.com/maps?q=18.698198,99.053119",Fully furnished
1423,Bungalow,"1523 Moo 3, Chiang Mai",Phrao,Mae Faek,1,3,"18.779535, 99.072599",8453,"https://www.google.com/maps?q=18.779535,99.072599",Quiet area
1424,Bungalow,"1524 Moo 4, Chiang Mai",Mae Ai,Nong Han,4,2,"18.942233, 98.942709",11876,"https://www.google.com/maps?q=18.942233,98.942709",Great view
1425,Bungalow,"1525 Moo 3, Chiang Mai",Doi Lo,Mae Faek,1,2,"18.962782, 99.013946",10192,"https://www.google.com/maps?q=18.962782,99.013946",Near market
1426,Detached,"1526 Moo 2, Chiang Mai",Hot,Nong Han,1,3,"18.872657, 99.04849",9240,"https://www.google.com/maps?q=18.872657,99.04849",Quiet area
1427,Townhouse,"1527 Moo 8, Chiang Mai",Mae On,Mae Faek,2,3,"18.64886, 98.815914",11927,"https://www.google.com/maps?q=18.64886,98.815914",Investment opportunity
1428,Detached,"1528 Moo 2, Chiang Mai",San Pa Tong,Nong Han,4,2,"18.83981, 99.005342",9761,"https://www.google.com/maps?q=18.83981,99.005342",New listing
1429,Townhouse,"1529 Moo 8, Chiang Mai",Mae Wang,San Sai Luang,1,1,"18.674416, 98.964383",7811,"https://www.google.com/maps?q=18.674416,98.964383",New listing
1430,Condo,"1530 Moo 6, Chiang Mai",Doi Tao,Mae Faek,3,1,"18.733825, 99.045612",8391,"https://www.google.com/maps?q=18.733825,99.045612",Investment opportunity
1431,Condo,"1531 Moo 6, Chiang Mai",Chiang Dao,Nong Han,2,1,"18.656632, 98.883166",12604,"https://www.google.com/maps?q=18.656632,98.883166",New listing
1432,Bungalow,"1532 Moo 8, Chiang Mai",Hot,Mae Faek,2,2,"18.871391, 98.959513",12582,"https://www.google.com/maps?q=18.871391,98.959513",New listing
1433,Detached,"1533 Moo 3, Chiang Mai",Doi Lo,San Na Meng,4,1,"18.606644, 98.889447",9618,"https://www.google.com/maps?q=18.606644,98.889447",Great view
1434,Detached,"1534 Moo 1, Chiang Mai",Doi Tao,Nong Han,2,3,"18.830122, 98.839931",11247,"https://www.google.com/maps?q=18.830122,98.839931",Fully furnished
1435,Apartment,"1535 Moo 7, Chiang Mai",Omkoi,Mae Faek,4,1,"18.93158, 98.815322",10839,"https://www.google.com/maps?q=18.93158,98.815322",Investment opportunity
1436,Bungalow,"1536 Moo 7, Chiang Mai",Samoeng,San Sai Luang,3,2,"18.903846, 98.890088",10736,"https://www.google.com/maps?q=18.903846,98.890088",Quiet area
1437,Detached,"1537 Moo 2, Chiang Mai",Omkoi,San Na Meng,4,3,"18.992339, 98.820397",10369,"https://www.google.com/maps?q=18.992339,98.820397",Fully furnished
1438,Townhouse,"1538 Moo 9, Chiang Mai",Phrao,Nong Han,4,1,"18.931051, 98.875444",10209,"https://www.google.com/maps?q=18.931051,98.875444",Great view
1439,Townhouse,"1539 Moo 10, Chiang Mai",Doi Tao,Nong Han,5,3,"18.708734, 99.009219",7821,"https://www.google.com/maps?q=18.708734,99.009219",Near school
1440,Condo,"1540 Moo 10, Chiang Mai",Mueang,Mae Faek,2,1,"18.878822, 99.073101",7913,"https://www.google.com/maps?q=18.878822,99.073101",Great view
1441,Condo,"1541 Moo 3, Chiang Mai",Saraphi,San Na Meng,2,3,"18.633534, 99.063614",10021,"https://www.google.com/maps?q=18.633534,99.063614",Urgent sale
1442,Villa,"1542 Moo 6, Chiang Mai",Doi Tao,Mae Faek,3,3,"18.80709, 98.877999",9427,"https://www.google.com/maps?q=18.80709,98.877999",Near school
1443,Detached,"1543 Moo 4, Chiang Mai",Doi Lo,Mae Faek,3,3,"18.981341, 99.023988",8176,"https://www.google.com/maps?q=18.981341,99.023988",Quiet area
1444,Villa,"1544 Moo 2, Chiang Mai",Chiang Dao,Nong Han,5,2,"18.708695, 98.829524",10730,"https://www.google.com/maps?q=18.708695,98.829524",Great view
1445,Bungalow,"1545 Moo 5, Chiang Mai",Mae Taeng,Nong Han,1,1,"18.662896, 98.949726",10938,"https://www.google.com/maps?q=18.662896,98.949726",Price negotiable
1446,Villa,"1546 Moo 3, Chiang Mai",San Kamphaeng,San Na Meng,4,2,"18.85752, 99.095292",6726,"https://www.google.com/maps?q=18.85752,99.095292",Investment opportunity
1447,Townhouse,"1547 Moo 5, Chiang Mai",Hot,Nong Han,4,1,"18.619873, 99.080379",8461,"https://www.google.com/maps?q=18.619873,99.080379",Near market
1448,Detached,"1548 Moo 9, Chiang Mai",Wiang Haeng,San Sai Luang,2,2,"18.723643, 98.91036",10521,"https://www.google.com/maps?q=18.723643,98.91036",Fully furnished
1449,Condo,"1549 Moo 1, Chiang Mai",Mae Ai,San Na Meng,5,2,"18.748239, 99.075645",8274,"https://www.google.com/maps?q=18.748239,99.075645",Great view
1450,Condo,"1550 Moo 1, Chiang Mai",Mae Ai,San Sai Luang,5,2,"18.82418, 98.95031",10657,"https://www.google.com/maps?q=18.82418,98.95031",Great view
1451,Apartment,"1551 Moo 1, Chiang Mai",Mueang,San Na Meng,1,3,"18.848428, 98.847781",11097,"https://www.google.com/maps?q=18.848428,98.847781",Great view
1452,Detached,"1552 Moo 5, Chiang Mai",Phrao,San Sai Luang,5,1,"18.973995, 98.870687",9205,"https://www.google.com/maps?q=18.973995,98.870687",Great view
1453,Villa,"1553 Moo 9, Chiang Mai",Doi Lo,Nong Han,3,2,"18.793776, 98.826791",10095,"https://www.google.com/maps?q=18.793776,98.826791",Renovated
1454,Villa,"1554 Moo 10, Chiang Mai",Omkoi,San Sai Luang,3,2,"18.936869, 98.984216",12629,"https://www.google.com/maps?q=18.936869,98.984216",New listing
1455,Condo,"1555 Moo 5, Chiang Mai",Phrao,San Sai Luang,2,1,"18.900712, 99.021406",6828,"https://www.google.com/maps?q=18.900712,99.021406",Renovated
1456,Apartment,"1556 Moo 1, Chiang Mai",Doi Saket,San Na Meng,3,1,"18.81806, 98.966624",12557,"https://www.google.com/maps?q=18.81806,98.966624",Fully furnished
1457,Condo,"1557 Moo 2, Chiang Mai",San Kamphaeng,Nong Han,1,1,"18.642697, 98.946439",12591,"https://www.google.com/maps?q=18.642697,98.946439",Price negotiable
1458,Detached,"1558 Moo 2, Chiang Mai",Hang Dong,San Sai Luang,1,3,"18.737567, 98.842187",10560,"https://www.google.com/maps?q=18.737567,98.842187",Urgent sale
1459,Detached,"1559 Moo 3, Chiang Mai",San Sai,Mae Faek,5,1,"18.990844, 98.943797",8377,"https://www.google.com/maps?q=18.990844,98.943797",Near school
1460,Townhouse,"1560 Moo 8, Chiang Mai",Mae Wang,San Na Meng,1,2,"18.801652, 98.809182",11775,"https://www.google.com/maps?q=18.801652,98.809182",Great view
1461,Villa,"1561 Moo 9, Chiang Mai",Chiang Dao,San Sai Luang,3,3,"18.786567, 99.068948",9509,"https://www.google.com/maps?q=18.786567,99.068948",Renovated
1462,Condo,"1562 Moo 3, Chiang Mai",Hang Dong,Nong Han,3,1,"18.752278, 99.087101",7093,"https://www.google.com/maps?q=18.752278,99.087101",Quiet area
1463,Apartment,"1563 Moo 6, Chiang Mai",San Sai,San Sai Luang,1,3,"18.933284, 98.817228",10307,"https://www.google.com/maps?q=18.933284,98.817228",Renovated
1464,Condo,"1564 Moo 7, Chiang Mai",Mae Ai,Mae Faek,4,3,"18.825102, 99.065782",8889,"https://www.google.com/maps?q=18.825102,99.065782",Renovated
1465,Detached,"1565 Moo 7, Chiang Mai",Doi Lo,San Sai Luang,1,3,"18.63214, 99.03457",7790,"https://www.google.com/maps?q=18.63214,99.03457",Near school
1466,Townhouse,"1566 Moo 8, Chiang Mai",Omkoi,Mae Faek,3,2,"18.716789, 99.053929",6587,"https://www.google.com/maps?q=18.716789,99.053929",Fully furnished
1467,Bungalow,"1567 Moo 4, Chiang Mai",Hot,Nong Han,3,2,"18.741957, 98.93917",11322,"https://www.google.com/maps?q=18.741957,98.93917",New listing
1468,Detached,"1568 Moo 4, Chiang Mai",Mae On,San Na Meng,1,2,"18.754168, 99.005606",10831,"https://www.google.com/maps?q=18.754168,99.005606",Quiet area
1469,Condo,"1569 Moo 6, Chiang Mai",Hang Dong,San Na Meng,5,2,"18.834065, 99.038157",8425,"https://www.google.com/maps?q=18.834065,99.038157",Renovated
1470,Apartment,"1570 Moo 7, Chiang Mai",Mae On,San Na Meng,4,1,"18.851225, 98.984205",9812,"https://www.google.com/maps?q=18.851225,98.984205",Great view
1471,Townhouse,"1571 Moo 2, Chiang Mai",Chiang Dao,San Na Meng,1,2,"18.626776, 98.885746",11632,"https://www.google.com/maps?q=18.626776,98.885746",Quiet area
1472,Condo,"1572 Moo 8, Chiang Mai",Hot,San Na Meng,5,2,"18.724596, 98.852199",7566,"https://www.google.com/maps?q=18.724596,98.852199",Urgent sale
1473,Detached,"1573 Moo 4, Chiang Mai",Phrao,San Na Meng,3,2,"18.842833, 98.822173",6998,"https://www.google.com/maps?q=18.842833,98.822173",Price negotiable
1474,Townhouse,"1574 Moo 8, Chiang Mai",Samoeng,Nong Han,4,2,"18.790135, 99.074863",8432,"https://www.google.com/maps?q=18.790135,99.074863",Quiet area
1475,Bungalow,"1575 Moo 3, Chiang Mai",Mae Wang,Nong Han,3,2,"18.664712, 98.828276",9712,"https://www.google.com/maps?q=18.664712,98.828276",Urgent sale
1476,Townhouse,"1576 Moo 10, Chiang Mai",San Sai,Mae Faek,1,2,"18.867056, 98.894133",11952,"https://www.google.com/maps?q=18.867056,98.894133",Urgent sale
1477,Bungalow,"1577 Moo 10, Chiang Mai",Doi Saket,San Na Meng,2,2,"18.811665, 98.976516",12493,"https://www.google.com/maps?q=18.811665,98.976516",Price negotiable
1478,Townhouse,"1578 Moo 10, Chiang Mai",Mae Chaem,Nong Han,1,2,"18.682745, 99.033343",9970,"https://www.google.com/maps?q=18.682745,99.033343",Urgent sale
1479,Bungalow,"1579 Moo 9, Chiang Mai",Wiang Haeng,Nong Han,1,1,"18.92892, 99.020225",9766,"https://www.google.com/maps?q=18.92892,99.020225",Price negotiable
1480,Townhouse,"1580 Moo 8, Chiang Mai",San Sai,San Na Meng,4,3,"18.846192, 98.868552",11527,"https://www.google.com/maps?q=18.846192,98.868552",Great view
1481,Villa,"1581 Moo 1, Chiang Mai",Omkoi,San Na Meng,1,2,"18.997528, 99.087299",8533,"https://www.google.com/maps?q=18.997528,99.087299",New listing
1482,Villa,"1582 Moo 8, Chiang Mai",Mueang,Mae Faek,3,1,"18.721013, 99.068382",11887,"https://www.google.com/maps?q=18.721013,99.068382",Near school
1483,Townhouse,"1583 Moo 1, Chiang Mai",Chom Thong,San Sai Luang,3,1,"18.957865, 99.037984",12746,"https://www.google.com/maps?q=18.957865,99.037984",Fully furnished
1484,Townhouse,"1584 Moo 9, Chiang Mai",Hang Dong,San Na Meng,2,2,"18.732739, 99.082669",6710,"https://www.google.com/maps?q=18.732739,99.082669",Investment opportunity
1485,Detached,"1585 Moo 10, Chiang Mai",Mae On,Nong Han,1,2,"18.927794, 98.848108",12543,"https://www.google.com/maps?q=18.927794,98.848108",Near school
1486,Detached,"1586 Moo 1, Chiang Mai",San Kamphaeng,San Na Meng,3,2,"18.608968, 98.999624",10612,"https://www.google.com/maps?q=18.608968,98.999624",New listing
1487,Villa,"1587 Moo 7, Chiang Mai",Mae Ai,Nong Han,2,1,"18.895728, 98.956982",12146,"https://www.google.com/maps?q=18.895728,98.956982",Near market
1488,Detached,"1588 Moo 3, Chiang Mai",Mueang,San Na Meng,5,1,"18.769667, 98.969435",7342,"https://www.google.com/maps?q=18.769667,98.969435",Fully furnished
1489,Villa,"1589 Moo 6, Chiang Mai",Mae Taeng,San Na Meng,2,1,"18.870359, 98.952638",12695,"https://www.google.com/maps?q=18.870359,98.952638",Renovated
1490,Condo,"1590 Moo 5, Chiang Mai",Omkoi,Nong Han,5,1,"18.687312, 99.01936",11080,"https://www.google.com/maps?q=18.687312,99.01936",Urgent sale
1491,Bungalow,"1591 Moo 10, Chiang Mai",Chom Thong,San Na Meng,1,3,"18.699656, 99.050186",11670,"https://www.google.com/maps?q=18.699656,99.050186",Fully furnished
1492,Apartment,"1592 Moo 9, Chiang Mai",Phrao,Mae Faek,5,2,"18.86677, 98.982223",8051,"https://www.google.com/maps?q=18.86677,98.982223",Urgent sale
1493,Townhouse,"1593 Moo 4, Chiang Mai",San Sai,Mae Faek,3,3,"18.71361, 99.052416",11981,"https://www.google.com/maps?q=18.71361,99.052416",Great view
1494,Apartment,"1594 Moo 1, Chiang Mai",Mae Chaem,San Na Meng,2,2,"18.889458, 99.00648",6713,"https://www.google.com/maps?q=18.889458,99.00648",Great view
1495,Villa,"1595 Moo 1, Chiang Mai",Omkoi,Nong Han,1,1,"18.827584, 98.97644",12206,"https://www.google.com/maps?q=18.827584,98.97644",Fully furnished
1496,Bungalow,"1596 Moo 1, Chiang Mai",Hot,Nong Han,3,1,"18.609765, 98.978221",8669,"https://www.google.com/maps?q=18.609765,98.978221",Great view
1497,Detached,"1597 Moo 9, Chiang Mai",Doi Lo,San Na Meng,3,2,"18.852663, 98.875599",8049,"https://www.google.com/maps?q=18.852663,98.875599",New listing
1498,Detached,"1598 Moo 5, Chiang Mai",Phrao,Mae Faek,4,1,"18.897233, 99.096063",10190,"https://www.google.com/maps?q=18.897233,99.096063",Price negotiable
1499,Townhouse,"1599 Moo 8, Chiang Mai",Saraphi,San Sai Luang,1,1,"18.789183, 98.858564",6508,"https://www.google.com/maps?q=18.789183,98.858564",Quiet area
1500,Condo,"1600 Moo 10, Chiang Mai",Mae On,San Sai Luang,1,2,"18.937388, 98.995556",11432,"https://www.google.com/maps?q=18.937388,98.995556",Near market
1501,Apartment,"1601 Moo 8, Chiang Mai",Wiang Haeng,San Sai Luang,2,3,"18.905038, 99.082727",9505,"https://www.google.com/maps?q=18.905038,99.082727",Fully furnished
1502,Townhouse,"1602 Moo 6, Chiang Mai",Hang Dong,San Na Meng,3,1,"18.719877, 98.899785",9848,"https://www.google.com/maps?q=18.719877,98.899785",New listing
1503,Detached,"1603 Moo 10, Chiang Mai",Chom Thong,Nong Han,3,3,"18.999729, 98.879252",8367,"https://www.google.com/maps?q=18.999729,98.879252",Fully furnished
1504,Apartment,"1604 Moo 4, Chiang Mai",San Sai,San Sai Luang,2,3,"18.726763, 99.097067",10630,"https://www.google.com/maps?q=18.726763,99.097067",Quiet area
1505,Detached,"1605 Moo 1, Chiang Mai",Chiang Dao,San Sai Luang,3,3,"18.832292, 98.838007",10066,"https://www.google.com/maps?q=18.832292,98.838007",New listing
1506,Apartment,"1606 Moo 1, Chiang Mai",Mae Wang,San Na Meng,5,3,"18.764058, 98.878959",8788,"https://www.google.com/maps?q=18.764058,98.878959",Urgent sale
1507,Apartment,"1607 Moo 5, Chiang Mai",Mueang,Nong Han,2,2,"18.829849, 98.998443",11080,"https://www.google.com/maps?q=18.829849,98.998443",Urgent sale
1508,Apartment,"1608 Moo 8, Chiang Mai",Mae Rim,Mae Faek,1,2,"18.969753, 98.842016",7142,"https://www.google.com/maps?q=18.969753,98.842016",Near school
1509,Detached,"1609 Moo 8, Chiang Mai",Phrao,Mae Faek,1,1,"18.784619, 98.941535",10514,"https://www.google.com/maps?q=18.784619,98.941535",Great view
1510,Apartment,"1610 Moo 5, Chiang Mai",Doi Tao,Nong Han,5,3,"18.623406, 99.05717",10951,"https://www.google.com/maps?q=18.623406,99.05717",Renovated
1511,Condo,"1611 Moo 10, Chiang Mai",Hang Dong,San Sai Luang,2,2,"18.641927, 99.005758",7478,"https://www.google.com/maps?q=18.641927,99.005758",Price negotiable
1512,Detached,"1612 Moo 6, Chiang Mai",Saraphi,San Sai Luang,3,2,"18.880397, 98.992172",8255,"https://www.google.com/maps?q=18.880397,98.992172",Near market
1513,Villa,"1613 Moo 7, Chiang Mai",Samoeng,San Sai Luang,5,3,"18.944231, 98.909852",12818,"https://www.google.com/maps?q=18.944231,98.909852",Investment opportunity
1514,Townhouse,"1614 Moo 7, Chiang Mai",San Sai,Mae Faek,3,1,"18.944407, 99.021233",8817,"https://www.google.com/maps?q=18.944407,99.021233",Price negotiable
1515,Condo,"1615 Moo 3, Chiang Mai",Chom Thong,Mae Faek,4,2,"18.830185, 98.876431",9977,"https://www.google.com/maps?q=18.830185,98.876431",Near market
1516,Bungalow,"1616 Moo 10, Chiang Mai",Doi Tao,San Sai Luang,5,2,"18.89258, 98.827319",9078,"https://www.google.com/maps?q=18.89258,98.827319",Renovated
1517,Detached,"1617 Moo 1, Chiang Mai",Mae Ai,Nong Han,2,2,"18.971169, 99.076767",8377,"https://www.google.com/maps?q=18.971169,99.076767",Near market
1518,Townhouse,"1618 Moo 3, Chiang Mai",Mae Taeng,San Sai Luang,4,1,"18.745412, 98.823515",12130,"https://www.google.com/maps?q=18.745412,98.823515",Fully furnished
1519,Apartment,"1619 Moo 6, Chiang Mai",Wiang Haeng,San Sai Luang,5,2,"18.766787, 98.852065",11360,"https://www.google.com/maps?q=18.766787,98.852065",Fully furnished
1520,Villa,"1620 Moo 3, Chiang Mai",Doi Lo,San Sai Luang,1,2,"18.719118, 98.961761",8581,"https://www.google.com/maps?q=18.719118,98.961761",Fully furnished
1521,Condo,"1621 Moo 8, Chiang Mai",Mae Wang,San Na Meng,3,1,"18.624083, 98.861781",9158,"https://www.google.com/maps?q=18.624083,98.861781",Quiet area
1522,Villa,"1622 Moo 5, Chiang Mai",Mae Ai,San Sai Luang,4,1,"18.720282, 98.829091",10802,"https://www.google.com/maps?q=18.720282,98.829091",Near market
1523,Villa,"1623 Moo 3, Chiang Mai",Hot,San Na Meng,1,3,"18.838806, 98.852663",9272,"https://www.google.com/maps?q=18.838806,98.852663",New listing
1524,Condo,"1624 Moo 9, Chiang Mai",Samoeng,San Na Meng,3,1,"18.722464, 98.903605",8588,"https://www.google.com/maps?q=18.722464,98.903605",Urgent sale
1525,Bungalow,"1625 Moo 3, Chiang Mai",Mae Ai,San Na Meng,1,3,"18.986808, 98.896678",10060,"https://www.google.com/maps?q=18.986808,98.896678",Fully furnished
1526,Villa,"1626 Moo 9, Chiang Mai",Mae On,Nong Han,5,3,"18.946829, 98.835371",9385,"https://www.google.com/maps?q=18.946829,98.835371",Near market
1527,Townhouse,"1627 Moo 1, Chiang Mai",Phrao,Nong Han,1,2,"18.758413, 99.098107",9180,"https://www.google.com/maps?q=18.758413,99.098107",Fully furnished
1528,Condo,"1628 Moo 3, Chiang Mai",Doi Tao,Nong Han,1,1,"18.922761, 98.824149",7187,"https://www.google.com/maps?q=18.922761,98.824149",New listing
1529,Detached,"1629 Moo 4, Chiang Mai",Mae Wang,Mae Faek,4,3,"18.790373, 98.91843",9564,"https://www.google.com/maps?q=18.790373,98.91843",Fully furnished
1530,Detached,"1630 Moo 7, Chiang Mai",Phrao,San Sai Luang,4,2,"18.877303, 99.031161",12339,"https://www.google.com/maps?q=18.877303,99.031161",Price negotiable
1531,Bungalow,"1631 Moo 4, Chiang Mai",Mae Ai,San Sai Luang,5,1,"18.706917, 98.994394",9186,"https://www.google.com/maps?q=18.706917,98.994394",Price negotiable
1532,Condo,"1632 Moo 10, Chiang Mai",Hot,San Sai Luang,2,1,"18.868044, 98.966345",7980,"https://www.google.com/maps?q=18.868044,98.966345",Renovated
1533,Townhouse,"1633 Moo 2, Chiang Mai",San Pa Tong,Nong Han,1,2,"18.898126, 99.070896",6578,"https://www.google.com/maps?q=18.898126,99.070896",Quiet area
1534,Condo,"1634 Moo 5, Chiang Mai",Mae On,Nong Han,4,3,"18.701145, 98.948698",11303,"https://www.google.com/maps?q=18.701145,98.948698",Near school
1535,Bungalow,"1635 Moo 8, Chiang Mai",Samoeng,Mae Faek,2,3,"18.852987, 98.831372",9277,"https://www.google.com/maps?q=18.852987,98.831372",Investment opportunity
1536,Detached,"1636 Moo 5, Chiang Mai",San Kamphaeng,Mae Faek,5,2,"18.857611, 98.994366",7938,"https://www.google.com/maps?q=18.857611,98.994366",Fully furnished
1537,Apartment,"1637 Moo 4, Chiang Mai",Doi Lo,Nong Han,3,1,"18.957609, 98.942107",9251,"https://www.google.com/maps?q=18.957609,98.942107",Urgent sale
1538,Townhouse,"1638 Moo 5, Chiang Mai",Omkoi,San Na Meng,4,2,"18.783178, 98.862723",8390,"https://www.google.com/maps?q=18.783178,98.862723",Fully furnished
1539,Villa,"1639 Moo 9, Chiang Mai",San Sai,San Sai Luang,2,3,"18.611963, 98.979815",12419,"https://www.google.com/maps?q=18.611963,98.979815",Renovated
1540,Apartment,"1640 Moo 4, Chiang Mai",Wiang Haeng,Nong Han,1,3,"18.626676, 99.003187",9809,"https://www.google.com/maps?q=18.626676,99.003187",Renovated
1541,Condo,"1641 Moo 10, Chiang Mai",Hang Dong,Nong Han,3,1,"18.878687, 98.908876",6994,"https://www.google.com/maps?q=18.878687,98.908876",Investment opportunity
1542,Townhouse,"1642 Moo 2, Chiang Mai",Saraphi,San Na Meng,1,2,"18.613909, 98.930878",11854,"https://www.google.com/maps?q=18.613909,98.930878",Investment opportunity
1543,Townhouse,"1643 Moo 10, Chiang Mai",Phrao,San Sai Luang,1,2,"18.763102, 99.021594",9855,"https://www.google.com/maps?q=18.763102,99.021594",Near market
